Chat,ID do usuário,Hora,Mensagem
Chat - Acervo do Conhecimento,6,2021-12-05 16:44:23,"Prometi que iria trazer um compilado de cursos de programação, e aí vai:

Super compilado com dezenas de cursos (programação, ingles, photoshop e etc): https://mega.nz/folder/0IZgUSYY#dcbloAV08pNqoORpgwLWXw
Linguagem C parte 1: https://drive.google.com/drive/folders/1bpHm1L4V_eYH57nBJ_iOJ79Kdnx9kVlA?fbclid=IwAR0EZEhAYSl6o3-gzwmtrukV5etxna0FPdQ95nOX6fDDbWlwrPgXm8LuvK8
Linguagem C parte 2: https://drive.google.com/drive/folders/1UP4uqDHp2ywIcb4XcSn2-v6ICzBr_qiN?fbclid=IwAR1bvXnAYOKkOuO0_DMtuD52PSTuXAKzh8E7VQ5qogddZ4AbH10eNfaU_KA
Compilado com vários livros e apostilas de TI: https://drive.google.com/drive/folders/1Kd60Pi9UKlrYZmrhzh9GpkN0pe-ehJCQ?fbclid=IwAR3m76oKTxIC4v1StMElltGsMza-tfdFrd2uYsm3_Xn18_3l5aaujI73pNk
Compilado de livros de informática: https://drive.google.com/drive/folders/14Dmj1DrRfgmSY2rZIWmvLERyRRlCglkw?fbclid=IwAR1PfjCgsbiZkkVOwW_AYuwUtlJZsZSvEZMY2EJAwZDBKGmbhrAXJAvjoS8
Curso Progamador BR completo: https://drive.google.com/drive/u/0/folders/1RbUlOrBoOjpcpQsdFFuWVRjWTKWNuOmB?fbclid=IwAR05J9uz_Sy8jdqAmZ6tquhHdQ9g_KZIinVrmC0fbPgDfsf2_HzrgDkb4A8
Curso de Python 3 completo: https://drive.google.com/drive/folders/1pu7okT3DS_S0MHV2QJICHubGmeOg5IiR?fbclid=IwAR3fZVTMqdsGraxALnGfTdCocJmSDlV_fqhlsp9nd9zLNLl556zmd5EIqfU
Programação para Web: https://drive.google.com/drive/folders/1s3Hn9uaeXvSp_WRL71WoHRhDn7-4UGze?fbclid=IwAR1oAUwqRY0wZ-nwM0Bw4Lgm5jg1smTFTAfvwRNW6SlqT2XcKHGSK__VYk4
C# Basico ao avançado: https://drive.google.com/drive/folders/1CVXdbYVNybb3E9yGEAe_mWdKsiYzkQ7w?fbclid=IwAR155_kMQHqpwuFk_zdZH_njnGKsfSitxj_GM3ImCP81K2uxPf9-uiNUEHU
Lógica de programação para todos: https://drive.google.com/file/d/1iq1bBsT2KOPZWbSNrqsIj2AtkIXzIjQy/edit?fbclid=IwAR2MwbaLBK1pGqlsvcGrLV0d5tUIkaO8wkfVyuQimf2MkuEjCo-jqh04tKE
JavaScript - Curso COMPLETO: https://drive.google.com/file/d/18Mnxp4lZSbgHtUh4OiLea5Z7_pREusYz/edit?fbclid=IwAR3pG5d3VyicRGjQcRYSH1CLGSxrL68LdMpBxxlAOBMSzUVPQeZZBOlg450

Todos os links estão funcionando corretamente até esse exato momento que postei."
Chat - Acervo do Conhecimento,6,2021-11-22 17:12:25,"Música, ENEM, alemão, espanhol, francês, inglês, japonês, mandarim, livros variados, JavaScript e Python.
https://drive.google.com/drive/folders/1t4cQMtlMYU6KVhrlqte-QE_-vwvOIlP7?usp=sharing"
Chat - Acervo do Conhecimento,6,2021-07-19 01:24:43,"1tb de cursos de Hacking 
https://mega.nz/#F!eeIzlAjL!zGa0iHkQJu0JmP4BayAJ3A!XSR3BSgZ

50 GB de Apostilas, Torrents e Cursos
https://mega.nz/#F!hwVDTZiC!Toc9ScaKdJfYGTgYvclRYw

Segurança Virtual
https://mega.nz/#F!ENJCiLII!F1vMgHNEQJuXshmBVWEk2w

Wireless Hacking (Videos)
https://mega.nz/#F!qEAzBbiQ!xROkgafNRzQTJ_XbrGrORA

Negação de serviços
https://mega.nz/#F!6cZGDaIY!nJy545OxJkX3mix-nD2VEw

C++
https://mega.nz/#F!GJYCDKSB!FHiTfwj0c1UuONxAO7D_nQ

Diversos (Desde linguagens de programação à Segurança, Redes)
https://mega.nz/#F!dA0RGLJQ!w3MIfnpUEXoRTaTufoFz_Q

Diversos livros (aproximadamente mil)
https://pastebin.com/zmh8zz20

Sistemas Operacionais 
https://mega.nz/#F!G44DRDAQ!_XIwJ_O1gP6fTVNXYew__Q

Universidade XTI (HTML, CSS, Javascript e Java)
https://mega.nz/#F!Bx4HwIIL!ndit7SGsHFCVnny5ZP1VkQ

Hacking 
https://mega.nz/#F!B0EmzKyB!68BJGAhiJ5-XrB2dm_6Kcg

Diversos (Linux, Criptografia, Metasploit e etc)
https://repo.zenk-security.com/

Pentest (Video aulas)
https://mega.nz/#F!mBUgRYYD!XkK2uayxBOogzuvkuJzXkA

Curso Linux (Video aula)
https://mega.nz/#F!SBEHVKJR!iVGhE5Ft8vcvzc94Wu5UrA

Livros diversos
https://mega.nz/#F!2EQzQBRR!TzMg4qlQvlOxtL9IVJ_2zg"
Chat - Acervo do Conhecimento,6,2021-05-01 20:53:06,"Cibersegurança 
https://mega.nz/folder/yRVgCZwa#X2dBn1YuOd4ureIxjM-mZg

https://mega.nz/folder/80YkwDaI#HJmrZDwAAaJJnmAT3Un7zg

Segurança da computação 
https://mega.nz/#!g45gWDRK!Rb4cWEBrcthCymcYBv-t0HTvQ5NKvZI6SHAPJzm1a1s 


Programação para iOS e Android 
https://mega.nz/file/xiI2TBTD#IDBFHh_OiX_-aAue5bvkh2rDWFTWAzNd-dauTkw2kjk


Livros para Java
https://mega.nz/folder/cUASFBzJ#SC0ohMQFPdGlpo70hoIRLA


Livros de Python
https://mega.nz/file/sdRHACLY#Ixnomj5AEG51QTB3niAvd-X0ah7sycWD7pyJiHaLIAE


Data analysis
https://mega.nz/folder/boQy3ToD#Hn-6ppKDHdy1chR8nZXuzA


Machine e Deep learning
https://mega.nz/folder/JjIzmADT#C6PyNl8kH9igqd6P2sJ_GQ/folder/AzRyCSaS

https://mega.nz/folder/P9IiwDYZ#dA_RVYYQKDhKP6xvk8xd1g


Hacking
https://mega.nz/folder/TEEQzRYI#sCWinW_S9Adq4L7PXU6Eag/folder/CY0yVRLZ"
Maratona de Programação UFRN,6,2022-10-06 13:50:34,"Prezad*s, bom dia!

Estamos nos aproximando do grande dia, a primeira fase da competição. Vocês todos já receberam e-mail geral da organização (acredito), mas envio esse para reforçar alguns pontos, inclusive no que se refere às nossas ações locais.

O evento ocorrerá no prédio do Instituto Metrópole Digital, que fica ao lado da CAERN e da residência Universitária, quase em frente ao batalhão do exército. Segue link com localização do google maps:

https://g.page/MetropoleDigital?share

O evento acontece em dois turnos: manhã e tarde.

TURNO DA MANHÃ

Espera-se que os times cheguem ao local da competição a partir das 09:00. Durante a primeira hora, estaremos recebendo vocês, entregando as camisas e fazendo um tour rápido pelos espaços que serão utilizados na competição.

Às 10:00 realizaremos o nosso aquecimento (warm-up) da competição. O período para warm-up é de uma hora, para que os times se familiarizem com o ambiente do Maratona Linux. É um linux distribuição Ubuntu com todas as ferramentas que vocês precisam para desenvolver os códigos em uma das linguagens aceitas na competição (pelo que vi no juíz e lembro de cabeça, C, C++, Java, Python, Kotlin, mas pode ser que tenha outras que esqueci). Nesse período, não existe a obrigatoriedade do time estar completo (nem é obrigatória a participação, mas ALTAMENTE recomendado). O objetivo é encerrar às 11h, mas pode ser estendido por mais tempo caso algum time não consiga estar presente no início do aquecimento.

Os laboratórios utilizados para a competição serão os laboratórios A204 e A205, localizados no segundo pavimento do instituto.

INTERVALO PARA ALMOÇO
Este ano, infelizmente, não houve orçamento suficiente para fornecer almoço aos competidores. Dessa forma, ao encerrar o warm-up o time fica liberado para almoçar, devendo retornar ao local da competição até as 13:30.Quem desejar trazer almoço, estaremos autorizados a utilizar a copa do instituto para armazenar os alimentos e esquentar, então sintam-se à vontade. Para os que desejarem, também há algumas opções de restaurantes e shoppings próximos do local da competição.

TURNO DA TARDE
No turno da tarde, inicia-se a competição oficial, simultaneamente em todo Brasil, às 14:00 pelo horário de Brasília. Por isso é imprescindível que todos os times cheguem ao local até 13:30, para que possam se acomodar e iniciar a prova assim que for liberado. Vocês utilizarão os mesmos computadores que realizaram o aquecimento pela manhã. Em cada laboratório haverá um staff para monitoramento e eventual suporte. O staff NÃO PODE auxiliar vocês com dúvidas sobre a prova e as questões, vocês devem fazer qualquer interação desse sentido através do sistema da competição (BOCA), via Clarificações aos juízes da competição.

A competição dura 5 horas, e vocês poderão utilizar os banheiros à vontade. Na etapa da tarde, existem algumas restrições oficiais da competição:
- Os times devem estar COMPLETOS até o início da competição, senão serão desclassificados (podem participar pela experiência, mas não entrarão na contagem final do resultado)
- ATENÇÃO TÉCNICOS: as substituições devem ocorrer até o dia 07/10, não podendo ser feitas no dia do evento. Consultem os times para ver a necessidade.
- Os equipamentos eletrônicos serão recolhidos antes do início da prova e ficarão guardados pela direção da sede durante a prova, e devolvidos ao término da mesma.
- Vocês podem levar material de consulta impresso a vontade (o sistema Maratona Linux não possui conectividade com a internet, apenas acesso ao BOCA. Algumas documentações oficiais de linguagens estarão disponíveis de forma local no sistema).
- Durante a prova, vocês podem solicitar impressões de código, para fazer uma análise de código sem bloquear a máquina.

A competição encerra às 19h em todo Brasil. Na hora final, o placar da competição congela, porém os times ainda recebem resultados das tentativas e balões até o final (acabaram com o congelamento dos 15 minutos finais). O placar será exibido ao final, inclusive com as definições de vagas gerais e por sedes."
Maratona de Programação UFRN,6,2022-05-09 20:52:26,"mas tipo C, C++, java etc são linguagens semelhantes e eh ok sair de uma p outra"
PDS,6,2024-03-14 12:44:00,e sobre a linguagem vamo de java mesmo
PDS,6,2024-03-14 07:46:54,"aparentemente o professor vai explicar todos os conceitos principais em java e spring, então não acho que vá ser um problema pra vocês que não usam tanto, né ?"
PDS,6,2024-03-14 07:17:15,"quanto a stack, tava pensando em fazer Java com Spring e React no front

se tu tá pagando web 2 com itamir acho que precisa ser em Java"
PDS,6,2024-03-14 01:05:37,"n programo mt em java tbm, mas desenrolo e da para aproveitar em web 2 eu acho"
